Country,Film,Box Office,Week,Link clicks,Total impressions,Total reach,Organic impressions,Organic reach,Page engaged users,Page consumptions,Negative feedback from users,Total video views,Total autoplayed views,Total organic views,Video repeats,Organic 30 sec views,Unique video views,Total 30 sec views,Autoplayed 30 sec views,Total impressions of posts,Total reach of posts,Organic impressions of posts,Organic reach of posts,Paid impressions,Paid reach,Total promoted views,Paid 30 sec views,Paid impressions of posts,Paid reach of posts
5,11,2031816,5,543,12473730,5179975,626532,462600,104980,107957,45,1174651,1138427,88358,219899,20289,954752,246988,224219,12418857,5172943,613957,457542,11310279,4819428,1086293,226699,11310279,4819428
5,11,2031816,5,514,12604849,5316711,590295,443090,98631,101628,40,1166293,1132171,82932,208452,18877,957841,235694,214404,12546527,5305040,577942,440506,11518376,4937821,1083361,216817,11518376,4937821
5,11,2031816,5,511,13439108,5558181,589593,433668,114523,112757,51,1191247,1156840,83112,214470,19144,976777,236854,215528,13365746,5551019,574846,428448,12177119,5106513,1108135,217710,12177119,5106513
5,11,2031816,5,519,13806789,5496018,567526,409120,118020,115225,51,1355479,1318727,85829,292850,19291,1062629,246068,224293,13731551,5489015,551257,404471,12538028,5087406,1269650,226777,12538028,5087406
5,11,2031816,4,558,13653718,5393541,538183,378391,116403,114868,55,1386989,1349901,87772,274552,19469,1112437,251277,229397,13578339,5382115,521572,374546,12424161,4989345,1299217,231808,12424161,4989345
5,11,2031816,4,575,13237572,5253175,459566,311199,118807,116477,53,1231152,1198030,80730,238078,17315,993074,197920,179118,13129604,5223267,443189,308333,11972869,4854740,1150422,180605,11972869,4854740
5,11,2031816,4,583,12725533,4967787,426383,287094,116485,114654,55,1214847,1182165,79836,221974,16935,992873,194399,176046,12616890,4941032,409643,283922,11477916,4571176,1135011,177464,11477916,4571176
5,11,2031816,4,122,10828225,4568863,398539,265681,105309,104287,52,1095275,1065456,73749,193455,15253,901820,174488,158012,10729965,4546223,383831,263275,9667575,4154278,1021526,159235,9667575,4154278
5,11,2031816,4,110,9126633,4082746,363685,241704,97483,95688,48,952285,925303,68881,169190,14252,783095,151841,137211,9036662,4057168,349461,238566,8033363,3674371,883404,137589,8033363,3674371
5,11,2031816,4,101,8433825,3859466,308233,200235,95715,91225,50,786731,763935,60122,121575,12560,665156,122178,110013,8259203,3823425,294501,196384,7245021,3400417,726609,109618,7245021,3400417
5,11,2031816,4,92,6702448,3369620,254826,167727,81512,76215,48,491502,475295,48351,60551,10461,430951,85177,76150,6531681,3321054,242893,164229,5605289,2955578,443151,74716,5605289,2955578
5,11,2031816,3,108,5765786,3066796,221033,136507,70587,66301,47,375642,362919,39422,50180,8746,325462,59152,52383,5598131,3014544,209551,134015,4733055,2624787,336220,50406,4733055,2624787
5,11,2031816,3,102,4133495,2349690,194865,118555,50984,46613,35,288401,278904,31108,35255,6794,253146,39617,35065,4007002,2305835,185813,116194,3332210,2013618,257293,32823,3332210,2013618
5,11,2031816,3,90,3166157,1893480,165084,81134,42814,37053,31,174300,168099,22290,20983,5099,153317,18725,16047,3045278,1849029,156881,78619,2460447,1588196,152010,13626,2460447,1588196
5,11,2031816,3,89,3067223,1875950,167015,80713,42509,36797,29,166422,160329,23398,17773,5608,148649,18500,15856,2947112,1832308,158889,78174,2363347,1572818,143024,12892,2363347,1572818
5,11,2031816,3,89,2945133,1849503,170413,77512,41975,35993,31,151897,146319,23518,14838,5698,137059,17279,14766,2825272,1807069,162439,75294,2229495,1543376,128379,11581,2229495,1543376
5,11,2031816,3,113,1222374,828877,168521,73128,13870,14750,15,138959,134491,20530,13054,4684,125905,15366,13482,1207025,824600,163391,71451,887971,667249,118429,10682,887971,667249
5,11,2031816,3,114,1090999,772985,184860,69382,12692,13538,14,126862,122872,21944,10493,5206,116369,14579,12780,1080589,770772,180031,68016,782319,641420,104918,9373,782319,641420
5,11,2031816,2,57,773872,566951,203131,74097,10931,15733,12,82340,79295,22812,8006,5614,74334,11041,9493,747188,550785,198863,72498,450983,435498,59528,5427,450983,435498
5,11,2031816,2,126,332958,140736,197383,55365,8366,14122,10,24038,22179,22964,3983,5653,20055,5974,4732,303679,128766,193802,54372,786,794,1074,321,786,794
5,11,2031816,2,248,368313,143576,211638,48241,8710,18046,12,23959,22176,23086,4239,5691,19720,5991,4816,325870,125347,208283,47334,0,0,873,300,0,0
5,11,2031816,2,339,402422,156081,217792,46335,9347,20161,16,21020,19427,20542,3134,5009,17886,5202,4138,331588,124333,214220,45404,0,0,478,193,0,0
5,11,2031816,2,344,469994,183977,234954,56408,10857,22830,18,26472,24674,26132,4342,6577,22130,6713,5489,358430,139170,231273,55432,0,0,340,136,0,0
5,11,2031816,2,409,2597117,2015357,336448,119812,36897,47198,28,430391,418352,55269,45737,14107,384654,95833,90737,2453517,1975693,329676,118400,1826848,1714093,375122,81726,1826848,1714093
5,11,2031816,2,595,5763018,3645926,472808,213520,68438,77170,46,870521,846315,90695,103322,22921,767199,192502,182813,5583358,3606249,461880,209695,4556780,3261003,779826,169581,4556780,3261003
5,11,2031816,1,619,7682461,3910328,531443,266928,96177,104570,58,1222578,1183820,121896,213734,29396,1008844,281636,263339,7493173,3861486,518105,263459,6193709,3443377,1100682,252240,6193709,3443377
5,11,2031816,1,661,10134078,4412650,627508,324772,121549,134527,66,1619584,1567787,157434,355999,36159,1263585,366123,340006,9925488,4376784,611795,319494,8334039,3871598,1462150,329964,8334039,3871598
5,11,2031816,1,691,13104814,5168351,708579,375392,150226,170224,86,2080306,2011558,204063,568814,47041,1511492,465606,428697,12879722,5128757,683904,368441,10971260,4608925,1876243,418565,10971260,4608925
5,11,2031816,1,630,16425722,5727782,795232,415193,185987,218836,100,2582195,2492912,273992,794615,65650,1787580,583728,533211,16170902,5688323,756539,408409,13802247,5112146,2308203,518078,13802247,5112146
